model,model_index,start_id,start_kind,start_seed,initial_parameters_log,final_parameters_log,fit_success,fit_status,fit_message,nfev,nit,train_mse,train_rmse,validation_rmse,validation_bic,test_rmse,error,selected_by_train_mse,selection_reason
LADDER_2R2C,1,16,log_uniform_within_published_bounds,234290004.0,"[0.8614312494058716,1.8167178787808176,12.554751510385563,15.067877796054079,-18.72336528719724]","[0.11256070976438337,4.999997552279152,13.249052840195668,24.99997799897522,-18.72191492857313]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,2,43.29666380010808,6.580020045570384,4.262207519560232,4281.421627836495,0.6330484145652789,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,17,log_uniform_within_published_bounds,1483113667.0,"[-3.046753921130543,1.9655117556762605,22.00649330002178,13.951425131739997,-13.662663950494466]","[-3.384107368985665,3.786973090508136,23.391988831322564,13.231785154094517,-13.641163730127532]",False,2,ABNORMAL: ,264,6,43.298157933941624,6.580133580250603,4.262134201955481,4281.371260558004,0.6330691374213422,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,18,log_uniform_within_published_bounds,2753355451.0,"[-5.855679421157598,-0.12278596529544927,17.54525776737268,21.01617048217156,-12.789535469056137]","[-5.3660195388386125,5.0,17.607329419378225,24.319110578887297,-12.697473170972188]",False,2,ABNORMAL: ,282,6,43.29654831467211,6.580011270102211,4.262218932332318,4281.429468034742,0.6330355576679199,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,19,log_uniform_within_published_bounds,1027759679.0,"[3.76938150078521,-6.2343317556840905,12.237652038793307,8.549493452744485,-1.8159942669549487]","[-9.999999840226245,-9.999999876903273,25.0,8.0,-20.0]",True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,2,83.3758045658954,9.1310352406447,0.7806053635679078,-688.7786612254474,2.4633097916715347,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,20,log_uniform_within_published_bounds,557425175.0,"[1.2472549588833175,-9.01368631323739,23.274222698075274,9.209922122477714,-16.17184424240086]","[1.2472543023719749,-9.013686313380862,23.27422204153666,9.209922122361569,-16.17184424240086]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,1,43.31671453268308,6.581543476471388,4.261299222732152,4280.797590523427,0.6332006852316584,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,21,log_uniform_within_published_bounds,2639308606.0,"[-4.269247800638472,-1.3912379999444031,15.239275219526215,14.73860198830204,-12.972450909985294]","[-9.999999998697263,2.828408473805884,12.47084494841963,10.304594113314627,-8.579913197432736]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,228,11,9.90107201694047,3.1465968945736393,0.9456653736530051,-127.13247395537049,0.5760207209374825,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,22,log_uniform_within_published_bounds,2816957126.0,"[-8.259957335422353,-7.4526343115546805,18.192304965891644,18.933478916205008,-17.153788619568118]","[-9.999999999951964,-4.850671179109806,13.701694900536703,18.017528628381154,-17.152603730451457]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,204,14,74.39635699907409,8.625332283400686,9.380527838505596,6591.1709466004595,9.593918508543673,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,23,log_uniform_within_published_bounds,2619616820.0,"[-4.753862368187538,-3.68967550856366,22.507125394200465,14.633702879804826,-14.659039943474259]","[-3.4492426132467497,5.0,24.658952306848967,14.804915876482843,-14.659218132499763]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,162,10,43.29691461119175,6.580039104077707,4.262191198792693,4281.410415970664,0.6330603223792108,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,24,log_uniform_within_published_bounds,3612190949.0,"[-6.801169287258217,3.9343342058461026,20.91597641872947,22.439530958332035,-1.776276095370985]","[-9.463984966357655,4.999999933993336,20.93424777296404,17.293419753237124,-1.5612308374792685]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,366,33,3.258548642492812,1.805145047494193,5.006684764255581,4752.7908295413135,0.849413195430819,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,25,log_uniform_within_published_bounds,3927675623.0,"[-0.1423064969129051,4.483694880255236,22.605147088877374,8.328344275177619,1.8339124586686815]","[-0.14573983697501708,4.447406052236633,25.0,8.332607517836356,-20.0]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,228,2,43.29694461272951,6.580041383815873,4.262189834269087,4281.409478582928,0.6330605785970801,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,26,log_uniform_within_published_bounds,2888306282.0,"[-7.29225378060938,3.940421326675864,16.278911733339257,19.286541769345618,-0.9076632697561244]","[-9.992272669864333,2.6910787356750627,25.0,25.0,-20.0]",False,2,ABNORMAL: ,270,4,43.29722423439616,6.580062631494943,4.262185429779624,4281.406452825675,0.6330605485489752,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,27,log_uniform_within_published_bounds,1926976960.0,"[-1.1732714086311127,3.067048749319241,20.43070878036854,17.81092918512161,-15.811886090585142]","[-0.6083399869405018,5.0,21.226177590118617,18.61833423681793,-15.785631065160567]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,174,7,43.2974082244282,6.580076612352489,4.262192268695833,4281.411150962564,0.6330596779120636,,False,higher_train_mse_or_later_train_mse_tie
